person_id,person_name,income
8,Зюганов Геннадий Андреевич,20453218.69
9,Алферов Жорес Иванович,81462661.75
10,Андреев Андрей Анатольевич,14475607.5
12,Афонин Юрий Вячеславович,23774458.689999998
13,Гаврилов Сергей Анатольевич,19608057.29
15,Гостев Руслан Георгиевич,13574182.84
16,Данилова Нина Петровна,2834018.0
17,Денисенко Олег Иванович,12646769.83
18,Езерский Николай Николаевич,73003334.53999999
19,Калашников Леонид Иванович,33597020.57
20,Кашин Борис Сергеевич,29456644.89
21,Кашин Владимир Иванович,21890088.64
22,Коломейцев Виктор Андреевич,12543183.43
23,Коломейцев Николай Васильевич,15977340.509999998
24,Комоедов Владимир Петрович,17509235.150000002
25,Корниенко Алексей Викторович,18647078.52
26,Куликов Александр Дмитриевич,12862429.99
27,Куликов Олег Анатольевич,12636658.739999998
28,Левченко Сергей Георгиевич,100446094.7
29,Локоть Анатолий Евгеньевич,14603048.91
30,Мельников Иван Иванович,17698661.39
31,Муравленко Сергей Викторович,1392345505.1399999
32,Никитин Владимир Степанович,8594624.48
33,Аксаков Анатолий Геннадьевич,27785069.270000003
34,Беляков Антон Владимирович,17712263.67
37,Афанасьева Елена Владимировна,23856637.98
39,Бурков Александр Леонидович,19501100.439999998
40,Гартунг Валерий Карлович,411424529.76
41,Горячева Светлана Петровна,20798848.47
42,Новиков Дмитрий Георгиевич,16401622.180000002
43,Обухов Сергей Павлович,12577317.86
45,Паутов Виктор Николаевич,14913401.93
46,Плетнева Тамара Васильевна,17875009.57
47,Пономарёв Алексей Алексеевич,21121162.21
48,Разворотнев Николай Васильевич,11731455.09
49,Рашкин Валерий Федорович,16739048.79
50,Решульский Сергей Николаевич,24214078.950000003
51,Романов Валентин Степанович,12996292.98
52,Романов Петр Васильевич,22642873.28
53,Русских Алексей Юрьевич,26318915.939999998
54,Рябов Николай Федорович,12335871.39
55,Савицкая Светлана Евгеньевна,59284610.94
56,Сапожников Николай Иванович,13343413.79
57,Смолин Олег Николаевич,25494820.83
58,Собко Сергей Васильевич,101621294.11
59,Сокол Святослав Михайлович,12201563.77
